index	path_json	canonical_path_json	type	encrypted	compression_method	compression_name	flag_bits	crc32	compressed_size	uncompressed_size	date_time_json	create_system	create_version	extract_version	external_attr	unix_mode	header_offset	extra_hex	comment_hex
29	"__MACOSX/specula-frr-cr5-artifacts-20260722/cr5-targeted-20260720-234815/._LEVEL3_REPRO_ANALYSIS.md"	"__MACOSX/specula-frr-cr5-artifacts-20260722/cr5-targeted-20260720-234815/._LEVEL3_REPRO_ANALYSIS.md"	file	false	8	deflated	8	60facaa4	86	163	[2026,7,22,18,35,2]	3	20	20	2175008768	100644	60154	75780b000104f501000004140000005554050001d79c606a	
30	"specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/.git-blame-ignore-revs"	"specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/.git-blame-ignore-revs"	file	false	8	deflated	8	e2554b57	689	1095	[2026,7,20,23,48,14]	3	20	20	2176057344	100664	60417	75780b000104f5010000041400000055540500013f435e6a	
31	"__MACOSX/specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/._.git-blame-ignore-revs"	"__MACOSX/specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/._.git-blame-ignore-revs"	file	false	8	deflated	8	60facaa4	86	163	[2026,7,20,23,48,14]	3	20	20	2176057344	100664	61278	75780b000104f5010000041400000055540500013f435e6a	
32	"specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/.isort.cfg"	"specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/.isort.cfg"	file	false	8	deflated	8	3d7ac6ed	29	27	[2026,7,20,23,48,14]	3	20	20	2176057344	100664	61547	75780b000104f5010000041400000055540500013f435e6a	
33	"__MACOSX/specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/._.isort.cfg"	"__MACOSX/specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/._.isort.cfg"	file	false	8	deflated	8	60facaa4	86	163	[2026,7,20,23,48,14]	3	20	20	2176057344	100664	61736	75780b000104f5010000041400000055540500013f435e6a	
34	"specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/alpine/"	"specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/alpine"	directory	false	0	stored	0	00000000	0	0	[2026,7,20,23,48,14]	3	20	20	1107099648	040775	61993	75780b000104f5010000041400000055540500013f435e6a	
35	"__MACOSX/specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/._alpine"	"__MACOSX/specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/._alpine"	file	false	8	deflated	8	60facaa4	86	163	[2026,7,20,23,48,14]	3	20	20	2180841472	100775	62134	75780b000104f5010000041400000055540500013f435e6a	
36	"specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/vrrpd/"	"specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/vrrpd"	directory	false	0	stored	0	00000000	0	0	[2026,7,20,23,48,16]	3	20	20	1107099648	040775	62387	75780b000104f50100000414000000555405000140435e6a	
37	"__MACOSX/specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/._vrrpd"	"__MACOSX/specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/._vrrpd"	file	false	8	deflated	8	60facaa4	86	163	[2026,7,20,23,48,16]	3	20	20	2180841472	100775	62527	75780b000104f50100000414000000555405000140435e6a	
38	"specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/stamp-h.in"	"specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/stamp-h.in"	file	false	8	deflated	8	f313cdde	12	10	[2026,7,20,23,48,14]	3	20	20	2176057344	100664	62779	75780b000104f5010000041400000055540500013f435e6a	
39	"__MACOSX/specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/._stamp-h.in"	"__MACOSX/specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/._stamp-h.in"	file	false	8	deflated	8	60facaa4	86	163	[2026,7,20,23,48,14]	3	20	20	2176057344	100664	62951	75780b000104f5010000041400000055540500013f435e6a	
